struct	operation	size	tmp	mem
ArrayList	getFirst	10	0.01	25172
ArrayList	getFirst	10	0.03	25272
ArrayList	getFirst	10	0.03	25264
ArrayList	getFirst	10	0.04	25264
ArrayList	getFirst	10	0.04	25268
ArrayList	getFirst	10	0.04	25272
ArrayList	getFirst	10	0.06	25264
ArrayList	getFirst	10	0.03	25272
ArrayList	getFirst	10	0.04	25240
ArrayList	getFirst	10	0.01	25360
ArrayList	getFirst	10	0.04	25248
ArrayList	getFirst	10	0.04	25268
ArrayList	getFirst	10	0.04	25268
ArrayList	getFirst	10	0.00	25260
ArrayList	getFirst	10	0.00	25264
ArrayList	getFirst	10	0.03	25272
ArrayList	getFirst	10	0.03	25280
ArrayList	getFirst	10	0.01	25244
ArrayList	getFirst	10	0.04	25264
ArrayList	getFirst	10	0.03	25268
ArrayList	getFirst	10	0.06	25252
ArrayList	getFirst	10	0.03	25268
ArrayList	getFirst	10	0.04	25268
ArrayList	getFirst	10	0.03	25268
ArrayList	getFirst	10	0.01	25268
ArrayList	getRandom	10	0.03	25268
ArrayList	getRandom	10	0.00	25260
ArrayList	getRandom	10	0.04	25268
ArrayList	getRandom	10	0.03	25268
ArrayList	getRandom	10	0.04	25268
ArrayList	getRandom	10	0.04	25268
ArrayList	getRandom	10	0.04	25268
ArrayList	getRandom	10	0.04	25244
ArrayList	getRandom	10	0.03	25268
ArrayList	getRandom	10	0.03	25264
ArrayList	getRandom	10	0.06	25268
ArrayList	getRandom	10	0.04	25148
ArrayList	getRandom	10	0.03	25268
ArrayList	getRandom	10	0.04	25248
ArrayList	getRandom	10	0.04	25252
ArrayList	getRandom	10	0.01	25268
ArrayList	getRandom	10	0.03	25276
ArrayList	getRandom	10	0.04	25348
ArrayList	getRandom	10	0.03	25264
ArrayList	getRandom	10	0.04	25268
ArrayList	getRandom	10	0.03	25272
ArrayList	getRandom	10	0.04	25272
ArrayList	getRandom	10	0.07	25348
ArrayList	getRandom	10	0.06	25264
ArrayList	getRandom	10	0.03	25264
ArrayList	getLast	10	0.01	25272
ArrayList	getLast	10	0.04	25128
ArrayList	getLast	10	0.01	25152
ArrayList	getLast	10	0.04	25272
ArrayList	getLast	10	0.03	25348
ArrayList	getLast	10	0.03	25276
ArrayList	getLast	10	0.01	25272
ArrayList	getLast	10	0.06	25268
ArrayList	getLast	10	0.03	25272
ArrayList	getLast	10	0.04	25268
ArrayList	getLast	10	0.04	25356
ArrayList	getLast	10	0.01	25140
ArrayList	getLast	10	0.04	25244
ArrayList	getLast	10	0.04	25260
ArrayList	getLast	10	0.03	25236
ArrayList	getLast	10	0.01	25244
ArrayList	getLast	10	0.06	25236
ArrayList	getLast	10	0.03	25240
ArrayList	getLast	10	0.04	25264
ArrayList	getLast	10	0.03	25272
ArrayList	getLast	10	0.04	25120
ArrayList	getLast	10	0.04	25268
ArrayList	getLast	10	0.01	25240
ArrayList	getLast	10	0.04	25276
ArrayList	getLast	10	0.03	25268
ArrayList	remove	10	0.07	25248
ArrayList	remove	10	0.04	25252
ArrayList	remove	10	0.04	25264
ArrayList	remove	10	0.03	25268
ArrayList	remove	10	0.03	25268
ArrayList	remove	10	0.04	25272
ArrayList	remove	10	0.04	25244
ArrayList	remove	10	0.03	25268
ArrayList	remove	10	0.04	25264
ArrayList	remove	10	0.03	25268
ArrayList	remove	10	0.04	25252
ArrayList	remove	10	0.04	25356
ArrayList	remove	10	0.04	25268
ArrayList	remove	10	0.01	25248
ArrayList	remove	10	0.04	25268
ArrayList	remove	10	0.03	25156
ArrayList	remove	10	0.03	25348
ArrayList	remove	10	0.01	25260
ArrayList	remove	10	0.03	25264
ArrayList	remove	10	0.04	25264
ArrayList	remove	10	0.01	25276
ArrayList	remove	10	0.06	25264
ArrayList	remove	10	0.04	25264
ArrayList	remove	10	0.06	25264
ArrayList	remove	10	0.03	25264
ArrayList	contains	10	0.04	25324
ArrayList	contains	10	0.03	25244
ArrayList	contains	10	0.04	25268
ArrayList	contains	10	0.04	25272
ArrayList	contains	10	0.03	25264
ArrayList	contains	10	0.03	25268
ArrayList	contains	10	0.03	25356
ArrayList	contains	10	0.01	25248
ArrayList	contains	10	0.01	25316
ArrayList	contains	10	0.03	25272
ArrayList	contains	10	0.04	25268
ArrayList	contains	10	0.06	25284
ArrayList	contains	10	0.04	25256
ArrayList	contains	10	0.04	25268
ArrayList	contains	10	0.04	25244
ArrayList	contains	10	0.04	25260
ArrayList	contains	10	0.03	25252
ArrayList	contains	10	0.03	25268
ArrayList	contains	10	0.01	25264
ArrayList	contains	10	0.04	25272
ArrayList	contains	10	0.03	25380
ArrayList	contains	10	0.04	25252
ArrayList	contains	10	0.04	25352
ArrayList	contains	10	0.01	25360
ArrayList	contains	10	0.01	25244
Array	getFirst	10	0.01	25240
Array	getFirst	10	0.01	25256
Array	getFirst	10	0.04	25252
Array	getFirst	10	0.04	25284
Array	getFirst	10	0.03	25248
Array	getFirst	10	0.00	25244
Array	getFirst	10	0.00	25140
Array	getFirst	10	0.06	25248
Array	getFirst	10	0.07	25332
Array	getFirst	10	0.04	25244
Array	getFirst	10	0.04	25224
Array	getFirst	10	0.04	25260
Array	getFirst	10	0.03	25252
Array	getFirst	10	0.04	25220
Array	getFirst	10	0.04	25228
Array	getFirst	10	0.06	25232
Array	getFirst	10	0.04	25248
Array	getFirst	10	0.04	25240
Array	getFirst	10	0.03	25232
Array	getFirst	10	0.04	25228
