test	taille	version	exectime	mem
1	21800000	v4	0.45	86668
1	21800000	v2	0.56	86676
1	21800000	v1	2.30	86768
1	21800000	v3	2.14	86768
2	14057000	v4	0.31	56508
2	14057000	v2	0.36	56432
2	14057000	v3	1.45	56452
2	14057000	v1	1.54	56420
3	5089000	v4	0.10	21484
3	5089000	v2	0.13	21476
3	5089000	v3	0.52	21388
3	5089000	v1	0.53	21460
4	9411000	v4	0.20	38300
4	9411000	v2	0.22	38304
4	9411000	v3	0.94	38372
4	9411000	v1	0.98	38272
5	32386000	v4	0.71	128116
5	32386000	v2	0.80	128116
5	32386000	v3	3.28	128040
5	32386000	v1	3.46	128088
6	15352000	v4	0.34	61484
6	15352000	v2	0.39	61516
6	15352000	v3	1.62	61480
6	15352000	v1	1.64	61504
7	17015000	v4	0.37	68004
7	17015000	v2	0.42	68008
7	17015000	v3	1.72	67988
7	17015000	v1	1.79	68012
8	14627000	v4	0.31	58720
8	14627000	v2	0.37	58804
8	14627000	v3	1.57	58748
8	14627000	v1	1.62	58660
9	23156000	v4	0.49	91976
9	23156000	v2	0.59	92036
9	23156000	v3	2.44	92064
9	23156000	v1	2.45	92064
10	31361000	v2	0.77	124112
10	31361000	v4	0.68	124112
10	31361000	v3	3.19	124052
10	31361000	v1	3.32	124036
